team_id,head_coach,owner
BKN,Steve Nash,Joe Tsai
DAL,Jason Kidd,Mark Cuban
DEN,Michael Malone,Stan Kroenke
DET,Dwane Casey,Tom Gores
CLE,JB Bickerstaff,Dan Gilbert
GSW,Steve Kerr,Joe Lacob
ATL,Nate McMillan,Tony Ressler
BOS,Ime Udoka,Wyc Grousbeck
CHA,James Borrego,Michael Jordan
CHI,Billy Donovan,Jerry Reinsdorf
HOU,Stephen Silas,Tilman Fertitta
IND,Rick Carlisle,Herb Simon
LAC,Tyronn Lue,Steve Ballmer
LAL,Frank Vogel,Jerry Buss Family Trust
MEM,Taylor Jenkins,Robert Pera
MIA,Erik Spoelstra,Micky Arison
MIL,Mike Budenholzer,Wesley Edens &Â Marc Lasry
MIN,Chris Finch,Glen Taylor
NOP,Willie Green,Tom Benson
NYK,Tom Thibodeau,Cablevision (James Dolan)
OKC,Mark Daigneault,Clay Bennett
ORL,Jamahl Mosley,Rick DeVos
PHI,Doc Rivers,Joshua Harris
PHO,Monty Williams,Robert Sarver
POR,Chauncey Billups,Paul Allen
UTA,Quin Snyder,Ryan Smith
SAC,Alvin Gentry,Vivek Ranadive
SAS,Gregg Popovich,Peter Holt
TOR,Nick Nurse,Maple Leaf Sports and Entertainment
WAS,Wes Unseld,Ted Leonsis
